ID,loc,title,bedrom,bathroom,parking_space,price
3583,Katsina,Semi-detached duplex,2.0,2.0,1.0,1149999.565
2748,Ondo,Apartment,,2.0,4.0,1672416.689
9261,Ekiti,,7.0,5.0,,3364799.814
2224,Anambra,Detached duplex,5.0,2.0,4.0,2410306.756
10300,Kogi,Terrace duplex,,5.0,6.0,2600700.898
1733,Borno,Mansion,,1.0,3.0,1341750.867
7892,Kwara,Bungalow,,4.0,4.0,2125789.778
3003,Katsina,Penthouse,3.0,3.0,5.0,2043107.592
555,Osun,Semi-detached duplex,,1.0,2.0,1219453.877
3085,Kadna,Penthouse,,3.0,3.0,2710664.872
12573,Ogun,Bungalow,1.0,2.0,6.0,1330213.036
2624,Bayelsa,Apartment,3.0,4.0,2.0,1891772.069
3753,,,5.0,,5.0,2087592.812
42,Borno,Terrace duplex,,2.0,3.0,1492509.365
3897,Abia,Terrace duplex,3.0,3.0,3.0,1293794.285
6184,Rivers,Townhouse,2.0,2.0,2.0,2028777.004
488,Ondo,,4.0,2.0,2.0,1851837.902
2524,Taraba,Terrace duplex,1.0,,4.0,1065123.44
2599,Ebonyi,Apartment,5.0,2.0,1.0,1272895.726
3389,Kadna,,5.0,1.0,1.0,1424308.199
11939,Kadna,Flat,,7.0,2.0,1790256.208
3424,Kebbi,Townhouse,,2.0,2.0,2355727.905
2223,Osun,Mansion,2.0,1.0,,4163334.857
1378,Enugu,Apartment,1.0,1.0,4.0,1125336.334
10758,Edo,Flat,6.0,7.0,6.0,2446005.185
425,Nasarawa,Townhouse,5.0,2.0,,2234301.476
2633,,Bungalow,4.0,1.0,4.0,1187345.997
1288,Delta,,1.0,2.0,2.0,1412019.59
1787,Kwara,Flat,5.0,2.0,1.0,1492238.896
2825,Kano,Penthouse,1.0,1.0,1.0,1664232.445
404,Kano,Terrace duplex,5.0,5.0,5.0,2147791.41
12131,Osun,Penthouse,6.0,,2.0,3114886.77
11051,Delta,Terrace duplex,9.0,,1.0,3500004.19
8297,Osun,Semi-detached duplex,3.0,7.0,3.0,1751635.699
5890,Yobe,Semi-detached duplex,9.0,3.0,,2507303.272
11872,Edo,Mansion,5.0,6.0,,4596234.296
12831,,Terrace duplex,6.0,5.0,5.0,2162177.154
8642,Abia,Apartment,6.0,1.0,3.0,1518329.108
928,,Townhouse,1.0,1.0,1.0,1127660.341
5241,Katsina,,7.0,4.0,5.0,2333334.784
7325,Katsina,Mansion,,2.0,4.0,2444849.231
1000,Edo,Townhouse,4.0,1.0,1.0,1918782.352
2996,Ebonyi,Flat,4.0,2.0,1.0,1167521.163
5733,Delta,Mansion,3.0,6.0,1.0,4223442.423
5947,Benue,Bungalow,7.0,4.0,6.0,2167431.017
5049,Benue,Detached duplex,5.0,7.0,4.0,2352604.128
814,,Flat,2.0,1.0,2.0,1192744.668
92,Rivers,Bungalow,2.0,2.0,3.0,1711290.282
446,Bayelsa,Penthouse,2.0,2.0,2.0,3225484.923
2642,Kogi,Cottage,1.0,2.0,3.0,643193.3905
9645,Bauchi,Mansion,,7.0,2.0,3822595.558
1761,Kano,Cottage,1.0,2.0,2.0,750033.2902
1085,Cross River,Flat,2.0,2.0,4.0,1458366.968
11897,,Penthouse,2.0,5.0,3.0,1840476.831
1,Niger,Semi-detached duplex,4.0,2.0,2.0,1476299.188
3598,Bayelsa,,2.0,3.0,1.0,1787653.179
169,Adamawa,Apartment,1.0,1.0,2.0,804146.0644
3903,Kadna,,9.0,1.0,2.0,2197865.405
1127,Osun,Terrace duplex,8.0,,4.0,2857231.23
11198,Plateau,Terrace duplex,,1.0,1.0,1723753.995
3052,Kano,,3.0,2.0,3.0,1670728.438
2078,Imo,Mansion,1.0,2.0,,2463522.102
4180,Abia,Apartment,3.0,,4.0,1052994.711
6687,Kano,Mansion,1.0,6.0,,2687046.276
8132,Taraba,Townhouse,4.0,5.0,4.0,1888880.066
4316,Oyo,Detached duplex,8.0,5.0,6.0,3571564.98
699,,Penthouse,5.0,2.0,2.0,3001424.1
2340,Katsina,Flat,3.0,2.0,2.0,1230014.981
4211,Nasarawa,Semi-detached duplex,4.0,,2.0,1934792.382
2157,Kadna,Cottage,5.0,1.0,3.0,1226377.252
1215,Cross River,Apartment,3.0,2.0,3.0,1444513.165
1107,Zamfara,Mansion,1.0,1.0,3.0,2881682.954
10525,Taraba,,3.0,4.0,6.0,1404206.516
2494,Sokoto,Apartment,6.0,2.0,5.0,1574193.772
3154,Plateau,Terrace duplex,3.0,,1.0,1281871.563
11342,Edo,Apartment,5.0,5.0,1.0,1825233.344
11269,Cross River,Townhouse,7.0,6.0,4.0,3292169.361
1434,Imo,Mansion,2.0,2.0,3.0,1596635.146
